,Loss
908,149.67194
909,150.16367
910,144.11975
911,130.90012
912,145.67471
913,153.94978
914,166.61545
915,165.323
916,140.1009
917,144.06088
918,135.81717
919,124.31814
920,120.02651
921,132.34409
922,125.70543
923,160.58278
924,123.51637
925,128.36624
926,129.43481
927,127.0895
928,146.03278
929,145.49652
930,153.5554
931,135.50116
932,127.83792
933,152.89798
934,155.44331
935,135.37523
936,125.56342
937,133.36917
938,144.89255
939,147.71075
940,131.27356
941,137.4189
942,130.47015
943,150.29163
944,140.19513
945,133.64948
946,125.459564
947,131.55826
948,135.81512
949,149.65076
950,129.21106
951,142.00577
952,133.19089
953,143.01646
954,121.58707
955,147.10663
956,129.35199
957,125.95842
958,147.94183
959,133.8633
960,152.48926
961,165.0483
962,149.0861
963,148.52467
964,129.0227
965,140.26971
966,125.973366
967,135.9197
968,154.52515
969,144.62828
970,155.86679
971,159.59912
972,145.96469
973,108.376144
974,153.51718
975,152.39682
976,158.82733
977,142.69719
978,120.12206
979,118.66819
980,141.68219
981,149.69212
982,147.1097
983,119.47397
984,137.34799
985,141.33539
986,131.51035
987,151.77545
988,138.48718
989,147.51874
990,130.9592
991,139.5572
992,126.55725
993,146.13504
994,129.77704
995,135.4473
996,135.98917
997,128.79587
998,150.41617
999,145.70493
1000,138.12878
1001,159.2901
1002,128.4086
1003,124.97575
1004,124.83586
1005,122.269485
1006,135.99113
1007,150.01947
1008,130.18927
1009,146.50307
1010,133.98807
1011,148.78107
1012,119.262085
1013,145.41266
1014,131.63618
1015,131.35553
1016,128.07944
1017,133.04993
1018,122.75241
1019,142.85889
1020,136.48947
1021,137.61214
1022,140.93207
1023,140.80865
1024,152.28482
1025,132.52751
1026,146.53102
1027,127.43309
1028,115.09886
1029,154.78595
1030,124.08029
1031,133.11185
1032,147.26547
1033,137.85703
1034,135.83496
1035,150.16681
1036,149.49757
1037,132.82567
1038,115.36181
1039,116.30154
1040,122.8639
1041,138.41412
1042,128.63191
1043,147.11447
1044,120.41607
1045,125.85819
1046,134.66202
1047,107.2648
1048,133.31848
1049,140.37985
1050,145.27844
1051,120.62706
1052,128.22903
1053,128.95088
1054,131.24084
1055,122.13467
1056,112.64705
1057,131.84804
1058,134.0423
1059,119.93096
1060,114.79263
1061,140.45303
1062,117.29018
1063,126.125916
1064,122.817505
